chirp_mass_true,chirp_mass_pred,sigma_chirp_mass_pred,chirp_mass_residual,chirp_mass_zscore
1.2998174,1.555439,0.3862959,0.25562155,0.6617247
1.671301,1.5554382,0.38629588,-0.11586285,-0.2999329
1.4466337,1.555438,0.38629577,0.108804345,0.28166074
1.2616434,1.5554391,0.386296,0.2937957,0.76054555
1.4148823,1.5552342,0.38643065,0.14035189,0.36320072
1.3074253,1.5552335,0.38643062,0.24780822,0.6412748
1.68911,1.5552325,0.3864304,-0.13387752,-0.34644663
1.3538027,1.555233,0.38643077,0.20143032,0.5212585
1.3498228,1.5552337,0.38643077,0.20541096,0.5315595
1.3380322,1.5554388,0.38629594,0.21740651,0.5627978
1.18421,1.5554386,0.3862959,0.3712287,0.9609957
1.1564838,1.5552335,0.3864309,0.3987497,1.0318785
1.3366487,1.5552332,0.38643077,0.21858454,0.5656499
0.9774184,1.5554383,0.3862957,0.57801986,1.4963145
1.6115279,1.555439,0.386296,-0.056088924,-0.14519675
1.6703801,1.5554383,0.38629588,-0.114941835,-0.29754868
1.6521547,1.5554392,0.386296,-0.09671545,-0.25036618
1.4863348,1.5552337,0.38643077,0.068898916,0.17829563
1.4858162,1.555438,0.3862959,0.0696218,0.18022919
1.9202924,1.5552335,0.38643053,-0.3650589,-0.94469476
1.4042679,1.5554404,0.38629636,0.15117252,0.3913382
1.1539886,1.5554386,0.386296,0.40145004,1.039229
1.3096743,1.5554383,0.38629594,0.24576402,0.63620657
1.8116336,1.555234,0.38643068,-0.25639963,-0.66350746
1.7921779,1.555234,0.38643065,-0.23694396,-0.6131604
1.1917009,1.555234,0.38643062,0.36353302,0.9407459
1.2103192,1.5554385,0.386296,0.34511936,0.8934065
1.5411494,1.5552292,0.38642988,0.014079809,0.03643561
1.3023642,1.5554388,0.38629594,0.25307453,0.6551312
1.5318613,1.5554376,0.38629577,0.02357626,0.06103163
1.3786428,1.555233,0.38643068,0.1765902,0.4569777
1.39009,1.5552275,0.38642958,0.16513753,0.42734185
1.6321931,1.5552342,0.38643065,-0.076958895,-0.19915318
1.6455085,1.5552319,0.3864304,-0.0902766,-0.23361671
1.5263101,1.5552335,0.38643074,0.028923392,0.07484754
1.1625992,1.5554383,0.38629594,0.39283907,1.0169381
1.6959183,1.5554394,0.38629612,-0.14047897,-0.36365616
1.2672276,1.5552325,0.38643062,0.28800488,0.74529517
1.2562467,1.5552332,0.38643062,0.29898655,0.7737134
1.7011738,1.5554382,0.38629588,-0.14573562,-0.37726423
1.3217856,1.555233,0.38643068,0.23344743,0.604112
1.8012266,1.5552332,0.38643065,-0.24599338,-0.6365783
1.8327934,1.555234,0.38643065,-0.2775594,-0.71826446
1.0931923,1.5552332,0.38643068,0.4620409,1.1956631
1.4978381,1.5552319,0.38643038,0.05739379,0.14852297
1.8871052,1.555438,0.38629588,-0.33166718,-0.8585833
1.7201972,1.5554383,0.38629577,-0.16475892,-0.42650977
1.794086,1.55544,0.38629615,-0.23864603,-0.61777997
1.4104122,1.5554383,0.3862959,0.14502609,0.37542745
1.1837589,1.5554382,0.38629583,0.3716793,0.9621624
1.4322522,1.5554383,0.3862959,0.12318611,0.31889054
1.0052041,1.555438,0.386296,0.55023396,1.4243842
1.5397612,1.5554379,0.38629594,0.015676737,0.040582195
1.9551363,1.5554385,0.38629612,-0.39969778,-1.0346928
1.5622354,1.5554376,0.3862959,-0.0067977905,-0.017597366
1.5899613,1.5552335,0.38643062,-0.03472781,-0.089868166
1.7724762,1.5554385,0.38629588,-0.21703768,-0.5618431
1.5374925,1.5552332,0.38643062,0.017740726,0.045909215
1.1815583,1.5552326,0.38643056,0.3736744,0.96698976
1.4935558,1.5552335,0.38643065,0.061677694,0.1596087
1.5660723,1.5552313,0.38643032,-0.010841012,-0.028054249
1.5668726,1.5552337,0.3864309,-0.01163888,-0.030118916
1.8298119,1.5552335,0.38643065,-0.27457845,-0.71055037
1.6251785,1.5554383,0.38629583,-0.069740176,-0.18053567
1.4297321,1.555233,0.38643062,0.12550092,0.3247696
1.3565271,1.5552307,0.38643008,0.19870365,0.51420337
1.6845797,1.5554382,0.38629583,-0.12914157,-0.33430743
1.6961035,1.5552332,0.38643068,-0.14087021,-0.364542
1.2618746,1.5554385,0.38629594,0.29356396,0.75994575
0.92823464,1.5554394,0.386296,0.6272047,1.6236376
1.9951317,1.5554386,0.38629588,-0.4396931,-1.1382288
1.9019233,1.5554384,0.3862959,-0.3464849,-0.89694166
1.3354467,1.555439,0.38629588,0.21999228,0.5694916
1.4141321,1.5554386,0.3862959,0.14130652,0.36579865
1.7993702,1.5554379,0.38629577,-0.24393225,-0.63146496
1.645225,1.5554382,0.3862959,-0.08978689,-0.23243032
1.5207963,1.5554385,0.38629612,0.03464222,0.089677885
1.3566096,1.5554383,0.3862959,0.1988287,0.51470566
1.6355815,1.555439,0.38629594,-0.0801425,-0.207464
1.3762606,1.5554385,0.3862959,0.17917788,0.4638358
1.2203395,1.5552309,0.38643023,0.33489132,0.86662817
1.5768007,1.5554389,0.386296,-0.021361828,-0.05529912
2.050412,1.5554388,0.386296,-0.49497318,-1.2813313
1.1028748,1.5554388,0.38629594,0.452564,1.1715474
1.5890182,1.555438,0.386296,-0.033580184,-0.086928636
1.7080379,1.5554394,0.38629603,-0.1525985,-0.39502993
1.8332306,1.5552337,0.38643062,-0.2779969,-0.71939665
1.32074,1.5552332,0.38643065,0.23449326,0.6068185
2.0241497,1.5554388,0.386296,-0.4687109,-1.2133465
1.3383348,1.5554391,0.386296,0.21710432,0.5620154
1.7398164,1.5552337,0.38643068,-0.18458271,-0.4776606
1.4651716,1.5552342,0.38643062,0.09006262,0.23306283
1.2395858,1.555233,0.38643062,0.31564724,0.8168277
1.7310598,1.5552326,0.38643062,-0.17582715,-0.45500314
1.44899,1.5554386,0.38629603,0.10644865,0.27556238
1.6332878,1.5554385,0.3862959,-0.07784927,-0.20152755
1.5965772,1.5554383,0.38629577,-0.041138887,-0.10649583
1.5240623,1.5552332,0.38643062,0.031170964,0.08066381
1.4049534,1.5552335,0.38643074,0.15028012,0.38889277
1.7328867,1.5554383,0.38629594,-0.17744839,-0.45935866
1.643076,1.5554389,0.386296,-0.08763707,-0.22686507
1.5609446,1.5554391,0.386296,-0.0055054426,-0.014251876
1.6666036,1.55544,0.38629603,-0.111163616,-0.28776795
1.3472016,1.5552316,0.38643038,0.20802999,0.5383375
1.1788789,1.5554383,0.3862959,0.37655938,0.9747951
1.3162892,1.5552328,0.38643053,0.23894358,0.6183351
1.377567,1.5554388,0.386296,0.1778717,0.46045443
1.1279334,1.5554397,0.38629606,0.42750633,1.1066805
1.4394615,1.5552329,0.38643062,0.11577141,0.29959172
1.4769281,1.5552331,0.38643053,0.078305006,0.20263669
1.5276692,1.555438,0.3862959,0.02776885,0.071884915
1.3722279,1.5552316,0.3864304,0.18300366,0.4735747
1.0922152,1.5554383,0.38629577,0.4632231,1.199141
1.8586879,1.5552326,0.38643062,-0.30345523,-0.7852774
1.6655928,1.5554377,0.38629588,-0.110155106,-0.28515732
1.0129557,1.5554382,0.38629583,0.5424825,1.4043188
1.4422476,1.555234,0.38643077,0.112986326,0.2923844
1.0982714,1.5554388,0.386296,0.4571674,1.1834639
1.0553535,1.5554386,0.3862959,0.5000851,1.2945648
1.5171022,1.5552328,0.3864305,0.03813052,0.09867369
1.572007,1.5554383,0.38629588,-0.01656866,-0.042891115
1.6452448,1.5554383,0.3862959,-0.08980656,-0.23248126
1.832192,1.5554388,0.38629594,-0.2767532,-0.71642786
1.8123901,1.5552335,0.38643053,-0.2571566,-0.6654666
1.7699289,1.5552326,0.38643065,-0.21469629,-0.5555881
1.8121139,1.5554389,0.38629603,-0.256675,-0.66445154
2.0379186,1.5554383,0.38629583,-0.4824803,-1.2489917
1.2978022,1.5554383,0.3862959,0.25763607,0.6669397
1.8289428,1.5552335,0.38643068,-0.2737093,-0.7083011
1.0063184,1.5552337,0.38643077,0.54891527,1.420475
1.1521467,1.5554385,0.386296,0.40329182,1.0439969
1.5674899,1.5552337,0.38643074,-0.0122561455,-0.03171628
1.6121132,1.5552306,0.3864303,-0.05688262,-0.14720021
1.1681058,1.5554383,0.38629583,0.38733244,1.0026835
1.4795152,1.555438,0.38629583,0.07592285,0.19654068
1.1238732,1.5554383,0.38629588,0.43156505,1.1171877
1.4009613,1.55544,0.38629606,0.15447867,0.39989707
1.6729949,1.555438,0.386296,-0.11755681,-0.30431795
1.1224135,1.5554383,0.3862959,0.43302476,1.1209664
1.5888536,1.5554391,0.38629594,-0.033414483,-0.0864997
1.1229777,1.5552332,0.38643074,0.4322555,1.1185846
1.8109431,1.5552225,0.3864289,-0.25572062,-0.66175336
1.1926054,1.5552337,0.38643065,0.36262834,0.9384047
1.4355942,1.5554384,0.386296,0.1198442,0.3102393
1.9173703,1.5552328,0.38643056,-0.36213756,-0.93713486
0.9836436,1.5552332,0.38643068,0.57158965,1.4791518
1.1575007,1.555233,0.38643074,0.39773226,1.0292459
1.2392418,1.5554388,0.38629594,0.31619692,0.81853545
1.6208993,1.5552324,0.38643056,-0.065666914,-0.169932
1.2716321,1.5552316,0.38643032,0.2835995,0.73389554
1.0877414,1.555438,0.38629577,0.46769667,1.2107217
1.3801702,1.55544,0.38629612,0.17526972,0.45371857
1.2693714,1.5554388,0.386296,0.28606737,0.7405393
1.1157541,1.5552303,0.38643005,0.43947613,1.1372721
1.5702631,1.555234,0.38643062,-0.015029192,-0.038892344
1.5284123,1.5554382,0.38629577,0.027025819,0.069961466
1.3338892,1.5552332,0.38643068,0.221344,0.5727909
1.6584736,1.5554383,0.38629588,-0.10303533,-0.26672646
1.7117358,1.5554388,0.38629606,-0.15629709,-0.4046044
1.9726892,1.5554385,0.386296,-0.41725063,-1.0801319
1.3319825,1.5552323,0.38643062,0.2232498,0.57772285
1.8165265,1.5552335,0.38643068,-0.26129305,-0.6761706
1.5480051,1.5554382,0.3862959,0.007433057,0.019241873
1.4165152,1.5554383,0.38629583,0.13892305,0.35962865
1.2724186,1.5552335,0.38643068,0.28281486,0.7318644
1.5459598,1.5554383,0.3862959,0.00947845,0.024536759
1.836596,1.5554389,0.3862959,-0.28115714,-0.7278284
1.6536347,1.555233,0.38643068,-0.098401666,-0.2546425
1.6173368,1.5552332,0.38643065,-0.06210351,-0.16071062
1.8187903,1.555227,0.38642985,-0.26356328,-0.6820469
1.4075757,1.5552335,0.38643074,0.14765775,0.38210663
1.9736989,1.5554386,0.38629594,-0.41826022,-1.0827456
1.2630867,1.5552337,0.38643077,0.29214704,0.75601393
1.256532,1.5554379,0.38629594,0.29890597,0.77377456
1.2141681,1.5552325,0.38643062,0.34106445,0.88260204
1.3380716,1.5554386,0.38629594,0.21736705,0.5626957
1.7482862,1.5552342,0.38643053,-0.19305205,-0.49957764
1.9217868,1.5554389,0.38629594,-0.3663479,-0.94836074
1.3371242,1.5552329,0.38643068,0.21810865,0.56441855
1.7705925,1.5552335,0.38643068,-0.21535897,-0.557303
1.3642476,1.5554383,0.38629583,0.19119072,0.49493343
0.9509054,1.5554382,0.3862959,0.6045328,1.5649474
1.3909315,1.5554386,0.38629606,0.16450715,0.4258577
1.4250599,1.55523,0.38643008,0.1301701,0.33685294
1.5668597,1.5554388,0.38629588,-0.011420965,-0.02956533
1.1240982,1.5552245,0.3864295,0.43112636,1.1156663
1.3746744,1.5554389,0.38629603,0.18076444,0.46794277
1.474348,1.5554382,0.38629588,0.08109021,0.20991735
1.4578723,1.555234,0.38643065,0.097361684,0.25195125
1.4281515,1.5554382,0.3862959,0.12728667,0.32950562
1.1566578,1.5554385,0.38629594,0.3987807,1.0323192
1.9894586,1.5554388,0.38629603,-0.4340198,-1.123542
1.7761731,1.5554394,0.386296,-0.22073376,-0.57141095
1.7633867,1.5554386,0.38629594,-0.20794809,-0.5383129
1.5316137,1.5554382,0.38629588,0.023824453,0.061674107
1.9449084,1.555232,0.38643053,-0.38967633,-1.0083995
1.8931156,1.5554383,0.3862959,-0.33767736,-0.8741417
1.3031144,1.5554392,0.38629603,0.25232482,0.6531903
1.5556688,1.55544,0.38629606,-0.00022888184,-0.0005925037
1.2163349,1.5552309,0.3864302,0.33889592,0.8769913
1.37653,1.5552316,0.3864304,0.17870152,0.46244165
1.6285076,1.5552335,0.3864308,-0.073274136,-0.18961774
1.4381979,1.5554389,0.3862959,0.117241025,0.30350056
1.3665968,1.5554389,0.3862959,0.18884206,0.48885337
1.4906042,1.5554392,0.38629603,0.06483507,0.16783778
1.2082272,1.5552335,0.38643062,0.34700632,0.8979783
1.4434328,1.5554383,0.38629588,0.11200547,0.28994736
1.3378695,1.5554392,0.38629603,0.21756971,0.56322014
1.9205544,1.5552337,0.38643068,-0.36532068,-0.94537187
1.4754355,1.5554383,0.3862957,0.080002785,0.20710245
2.007847,1.5552315,0.38643032,-0.45261562,-1.1712736
1.628979,1.5554384,0.386296,-0.07354057,-0.19037361
1.553894,1.555234,0.38643065,0.0013399124,0.003467407
1.6619918,1.5554385,0.386296,-0.106553316,-0.27583334
1.208035,1.5554377,0.38629594,0.3474027,0.89931744
1.7541357,1.555438,0.38629594,-0.19869769,-0.5143665
1.6732104,1.5552324,0.38643065,-0.11797798,-0.30530182
1.299426,1.5554383,0.38629594,0.25601232,0.66273624
1.4205537,1.5552332,0.38643068,0.13467956,0.3485219
1.1460385,1.5552335,0.38643077,0.40919495,1.0589088
1.4946637,1.5552287,0.38642997,0.060564995,0.15672955
1.6077216,1.555227,0.38642985,-0.052494526,-0.1358449
1.5406691,1.5552309,0.38643017,0.014561772,0.037682805
2.0381508,1.555234,0.38643068,-0.48291683,-1.2496855
1.2780681,1.5554383,0.3862959,0.2773702,0.7180252
1.9370782,1.5552331,0.38643074,-0.38184512,-0.9881334
1.203532,1.5552332,0.38643062,0.35170126,0.9101278
1.2680601,1.5552303,0.38643008,0.28717017,0.74313617
1.3056477,1.5554389,0.3862959,0.24979115,0.6466316
1.5889169,1.555234,0.38643056,-0.033682942,-0.08716428
1.4860542,1.5554395,0.38629603,0.06938529,0.17961688
1.1320887,1.5552332,0.38643074,0.42314458,1.0950075
1.7853243,1.5552332,0.38643056,-0.2300911,-0.59542674
1.1138499,1.5554386,0.386296,0.44158876,1.1431357
1.6813482,1.5552342,0.38643065,-0.12611401,-0.3263561
1.544109,1.5554383,0.38629583,0.011329293,0.029328024
1.5292903,1.555439,0.386296,0.026148677,0.067690775
1.5010104,1.5552322,0.38643074,0.05422175,0.14031428
1.6163775,1.5552318,0.38643032,-0.061145663,-0.15823205
1.3045247,1.5554384,0.38629594,0.25091374,0.6495376
1.7120954,1.5554378,0.3862959,-0.15665758,-0.40553775
1.3341526,1.5554383,0.3862959,0.2212857,0.57283986
1.6211449,1.555232,0.38643056,-0.06591284,-0.1705684
2.0649583,1.555438,0.3862959,-0.5095203,-1.3189896
1.7513247,1.5554392,0.38629612,-0.19588542,-0.50708616
1.2195251,1.555233,0.38643068,0.3357079,0.8687403
0.8937909,1.5552332,0.38643053,0.66144234,1.7116721
1.0654061,1.5552337,0.38643074,0.48982763,1.2675691
1.130319,1.5552335,0.38643068,0.42491448,1.0995878
1.5404173,1.5554385,0.3862959,0.015021205,0.03888523
1.2695996,1.5552331,0.38643062,0.28563356,0.73915875
1.5720068,1.5552332,0.38643065,-0.016773582,-0.043406446
1.0269134,1.5554394,0.38629612,0.52852595,1.3681886
1.44759,1.5554383,0.38629583,0.10784829,0.27918574
1.8401575,1.5552337,0.38643077,-0.2849238,-0.7373217
1.6970539,1.5554386,0.38629588,-0.14161527,-0.36659792
1.2748393,1.555439,0.3862959,0.2805997,0.7263854
2.1228776,1.5554392,0.38629594,-0.56743836,-1.4689213
1.5799379,1.5554383,0.3862959,-0.024499655,-0.06342199
1.574069,1.5554404,0.38629618,-0.018628597,-0.04822361
0.95966303,1.5552335,0.38643077,0.59557045,1.5412086
1.2109797,1.555233,0.38643077,0.3442533,0.89085376
1.7001121,1.5552337,0.38643065,-0.14487839,-0.37491432
1.5992696,1.5552261,0.38642964,-0.04404354,-0.11397558
1.4207947,1.5554383,0.3862959,0.13464355,0.3485503
1.75235,1.555233,0.38643062,-0.19711697,-0.51009667
1.4167422,1.5552335,0.38643068,0.13849127,0.3583858
1.672853,1.5554383,0.38629594,-0.11741471,-0.30395016
1.1537733,1.5552342,0.3864308,0.4014609,1.0388947
1.5330343,1.5554385,0.3862959,0.022404194,0.05799749
1.09414,1.555438,0.38629583,0.461298,1.1941574
1.2469919,1.5552335,0.38643065,0.3082416,0.79766345
1.3767937,1.555233,0.38643068,0.17843926,0.46176267
1.4784822,1.5554383,0.38629583,0.07695603,0.1992153
1.7140635,1.5554385,0.38629594,-0.158625,-0.4106308
1.2211982,1.5554385,0.3862959,0.33424032,0.86524427
1.7911339,1.5554388,0.386296,-0.23569512,-0.6101412
1.4959774,1.5554391,0.386296,0.059461713,0.15392785
1.3540665,1.5554378,0.38629588,0.20137131,0.52128774
1.3030776,1.5552306,0.38643008,0.25215304,0.65251917
1.3362489,1.555438,0.38629588,0.21918917,0.5674126
1.1580738,1.5552318,0.38643032,0.39715803,1.027761
1.259791,1.5554394,0.386296,0.29564834,0.7653414
1.1509757,1.5552326,0.38643056,0.40425694,1.0461309
1.8072606,1.5554389,0.38629603,-0.25182176,-0.651888
1.7537962,1.5552318,0.38643032,-0.19856441,-0.5138427
1.9679708,1.5554383,0.38629583,-0.41253257,-1.0679188
1.804164,1.5554379,0.38629594,-0.24872613,-0.6438745
1.51135,1.5552326,0.38643065,0.04388261,0.11355882
1.776952,1.5554391,0.38629606,-0.22151291,-0.57342786
1.051435,1.555438,0.38629577,0.50400305,1.3047076
1.4067612,1.5554383,0.3862959,0.14867711,0.3848788
1.2073627,1.5552335,0.38643077,0.34787083,0.90021515
1.5485306,1.5552332,0.38643065,0.0067026615,0.017345056
1.4213985,1.5552335,0.38643053,0.13383496,0.3463364
1.1603602,1.5552324,0.38643053,0.3948722,1.0218452
1.2273841,1.555233,0.38643074,0.3278489,0.8484028
1.5739146,1.555233,0.38643065,-0.018681645,-0.04834411
1.5026559,1.5554377,0.38629577,0.05278182,0.13663577
1.86247,1.5554379,0.386296,-0.3070321,-0.7948105
1.0431339,1.5552301,0.38642994,0.5120963,1.3251983
1.9595282,1.5554383,0.38629577,-0.40408993,-1.0460635
1.8495415,1.555231,0.38643017,-0.29431057,-0.76161385
1.0660384,1.555234,0.3864309,0.4891956,1.2659329
1.3674902,1.5552337,0.38643074,0.18774354,0.48584008
1.8162056,1.5552335,0.38643053,-0.26097214,-0.67534035
1.3825772,1.5552325,0.3864305,0.17265534,0.44679534
1.1556051,1.5552335,0.38643068,0.3996284,1.0341529
1.4008689,1.5552317,0.3864302,0.1543628,0.3994584
1.5079454,1.555439,0.38629594,0.047493577,0.12294609
1.4253651,1.5552337,0.38643065,0.12986863,0.33607227
1.412877,1.5552312,0.38643023,0.14235425,0.36838278
1.6504753,1.555233,0.38643062,-0.09524226,-0.24646665
1.5183759,1.5554388,0.38629606,0.037062883,0.09594424
1.2604175,1.5552342,0.38643077,0.29481673,0.7629225
1.3997673,1.5554388,0.3862959,0.15567148,0.40298504
1.6997885,1.5552335,0.38643068,-0.14455497,-0.37407738
1.2578803,1.5552335,0.38643062,0.29735315,0.7694865
1.1887835,1.555439,0.38629594,0.36665547,0.94915694
1.8447398,1.5554388,0.3862959,-0.28930104,-0.7489104
1.9217763,1.5554392,0.386296,-0.36633706,-0.9483325
1.7263426,1.5552332,0.38643074,-0.17110932,-0.44279426
1.6019163,1.5552337,0.38643062,-0.046682596,-0.1208046
1.7763714,1.5554392,0.386296,-0.22093213,-0.57192445
1.0871019,1.5552337,0.38643065,0.46813178,1.2114251
1.248544,1.5552282,0.38642997,0.30668426,0.7936348
1.5296122,1.5552325,0.38643062,0.025620341,0.066299975
1.7072104,1.5552337,0.38643074,-0.1519767,-0.39328316
1.1807055,1.5552331,0.38643062,0.37452757,0.96919745
1.6995263,1.5552326,0.38643053,-0.14429367,-0.3734013
1.9288857,1.5554383,0.38629577,-0.37344742,-0.9667396
1.8122262,1.5552344,0.38643065,-0.25699174,-0.6650398
1.1339147,1.5552335,0.38643062,0.42131877,1.090283
1.7310451,1.5554383,0.38629583,-0.17560685,-0.45459163
1.4168911,1.5552337,0.38643065,0.13834262,0.35800114
1.2889228,1.5554388,0.38629594,0.26651597,0.6899269
1.6867564,1.5554385,0.38629603,-0.13131785,-0.339941
1.8706851,1.5554383,0.386296,-0.31524682,-0.8160758
1.7012366,1.5554388,0.38629594,-0.14579785,-0.37742525
1.342572,1.5552335,0.3864305,0.2126615,0.5503228
1.3892598,1.555438,0.3862959,0.16617823,0.43018374
1.2816608,1.5554386,0.386296,0.27377784,0.7087255
1.4283565,1.55544,0.38629603,0.12708342,0.32897934
1.2080954,1.5552331,0.38643068,0.3471377,0.8983181
1.4533087,1.5554388,0.38629603,0.102130055,0.26438287
